uuid,variant,gt_error_type,gt_dimension,GF1,GF2,GF3,GF4,dGF1,dGF2,dGF3,dGF4,detected_dim,detected_defect
bfa02503-3b85-4d34-e74f-2b4a4432192f,part_deletion,part_deletion,GF2,1.0000,0.3333,1.0000,,0.0000,0.0000,0.0000,,None,"no defect above threshold",None
bfa02503-3b85-4d34-e74f-2b4a4432192f,part_displacement,part_displacement,GF3,0.4175,0.3333,0.0000,,-0.5825,0.0000,-1.0000,,GF3,"part_displacement",GF1
bfa02503-3b85-4d34-e74f-2b4a4432192f,proportion_scale,proportion_scale,GF4,1.0000,0.6667,1.0000,,0.0000,0.3333,0.0000,,None,"no defect above threshold",None
bfa02503-3b85-4d34-e74f-2b4a4432192f,topology_break,topology_break,GF1,0.6110,0.3333,0.0000,,-0.3890,0.0000,-1.0000,,GF3,"part_displacement",GF1
c4db4bf8-b95c-eabf-6def-ecdfc43ece89,gt,none,None,1.0000,0.5909,0.8000,0.7170,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
c4db4bf8-b95c-eabf-6def-ecdfc43ece89,part_deletion,part_deletion,GF2,1.0000,0.5000,1.0000,0.7170,0.0000,-0.0909,0.2000,0.0000,GF2,"part_deletion / silent_noop (missing feature)",GF2
c4db4bf8-b95c-eabf-6def-ecdfc43ece89,part_displacement,part_displacement,GF3,0.5042,0.3409,0.2000,0.0034,-0.4958,-0.2500,-0.6000,-0.7136,GF4,"proportion_scale",GF1
c4db4bf8-b95c-eabf-6def-ecdfc43ece89,proportion_scale,proportion_scale,GF4,1.0000,0.5909,0.8000,0.3756,0.0000,0.0000,0.0000,-0.3414,GF4,"proportion_scale",GF4
c4db4bf8-b95c-eabf-6def-ecdfc43ece89,topology_break,topology_break,GF1,0.5507,0.5909,0.4000,0.7170,-0.4493,0.0000,-0.4000,0.0000,GF1,"topology_break",GF1
de3f2362-65dd-6f36-4e02-6f03556ab24d,gt,none,None,1.0000,1.0000,1.0000,0.8595,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
de3f2362-65dd-6f36-4e02-6f03556ab24d,part_deletion,part_deletion,GF2,1.0000,0.6667,1.0000,0.8595,0.0000,-0.3333,0.0000,0.0000,GF2,"part_deletion / silent_noop (missing feature)",GF2
de3f2362-65dd-6f36-4e02-6f03556ab24d,part_displacement,part_displacement,GF3,1.0000,0.6667,1.0000,0.8595,0.0000,-0.3333,0.0000,0.0000,GF2,"part_deletion / silent_noop (missing feature)",GF2
de3f2362-65dd-6f36-4e02-6f03556ab24d,proportion_scale,proportion_scale,GF4,1.0000,1.0000,1.0000,0.6021,0.0000,0.0000,0.0000,-0.2574,GF4,"proportion_scale",GF4
de3f2362-65dd-6f36-4e02-6f03556ab24d,topology_break,topology_break,GF1,0.5640,0.6667,0.5000,0.8582,-0.4360,-0.3333,-0.5000,-0.0013,GF3,"part_displacement",GF1
eacaf3f2-8f03-7af3-90c0-a6301ffd2d4d,gt,none,None,1.0000,0.6667,1.0000,0.9985,0.0000,0.0000,0.0000,0.0000,None,"no defect above threshold",None
eacaf3f2-8f03-7af3-90c0-a6301ffd2d4d,part_deletion,part_deletion,GF2,1.0000,0.5000,1.0000,0.7085,0.0000,-0.1667,0.0000,-0.2900,GF4,"proportion_scale",GF4
eacaf3f2-8f03-7af3-90c0-a6301ffd2d4d,part_displacement,part_displacement,GF3,1.0000,0.3333,1.0000,0.0201,0.0000,-0.3333,0.0000,-0.9784,GF4,"proportion_scale",GF4
eacaf3f2-8f03-7af3-90c0-a6301ffd2d4d,proportion_scale,proportion_scale,GF4,1.0000,0.6667,1.0000,0.3778,0.0000,0.0000,0.0000,-0.6207,GF4,"proportion_scale",GF4
eacaf3f2-8f03-7af3-90c0-a6301ffd2d4d,topology_break,topology_break,GF1,0.6821,0.6667,0.2500,0.0156,-0.3179,0.0000,-0.7500,-0.9829,GF4,"proportion_scale",GF1
